h2_ID,h2_RA,h2_DEC,h2_rGalac_kpc,h2_LHa_erg_s,h2_logLHa,h2_size_pc,h2_class,sc_ID,sc_RA,sc_DEC,separation_arcsec,sc_age_yr,sc_mass_Msun,sc_EBV,sc_class
1205,24.1638,15.7636,3.78624,1.82973e+38,38.2624,61,2,2726,24.1637,15.7636,0.348659,1e+06,8608,0.12,2
1205,24.1638,15.7636,3.78624,1.82973e+38,38.2624,61,2,2727,24.1638,15.7635,0.309243,2e+06,2286,0,2
1205,24.1638,15.7636,3.78624,1.82973e+38,38.2624,61,2,2739,24.1639,15.7634,0.822412,1e+06,1269,0.14,2
1208,24.1785,15.764,3.42552,1.95268e+37,37.2906,95,2,2704,24.1791,15.764,1.90128,1.3e+07,1041,0.11,2
1209,24.1759,15.764,3.39424,1.03486e+38,38.0149,61,2,2692,24.1759,15.7642,0.674748,4e+07,5181,0.16,2
1209,24.1759,15.764,3.39424,1.03486e+38,38.0149,61,2,2706,24.1759,15.7639,0.296788,1e+06,2732,0.08,3
1209,24.1759,15.764,3.39424,1.03486e+38,38.0149,61,2,2717,24.1759,15.7638,0.59076,9e+06,845.4,0.08,4
1215,24.1748,15.7642,3.35771,2.85888e+38,38.4562,36.0724,2,2687,24.1749,15.7643,0.447953,4e+06,763,0.11,4
1215,24.1748,15.7642,3.35771,2.85888e+38,38.4562,36.0724,2,2693,24.1748,15.764,0.434421,1e+06,19440,0.3,3
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3459,24.2111,15.7651,0.700211,2e+06,1491,0.24,4
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3460,24.2112,15.765,0.86722,3e+06,2307,0.15,3
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3461,24.2112,15.765,1.01604,5e+06,2333,0.06,3
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3464,24.2111,15.7651,0.346525,1e+06,1487,0.08,3
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3465,24.2111,15.765,0.628035,5e+06,829.4,0,4
1218,24.211,15.7651,6.36799,1.13841e+38,38.0563,70.7956,2,3466,24.2111,15.7649,0.654739,3e+06,866.6,0.13,4
1222,24.1769,15.7643,3.25172,5.92513e+36,36.7727,66.6965,4,2679,24.1773,15.7644,1.2166,9e+06,3390,0.23,2
1225,24.1882,15.7648,3.82895,1.23883e+37,37.093,147.21,3,2684,24.1884,15.7643,1.87562,2e+08,36400,0.45,4
1231,24.1667,15.7644,3.51548,2.06651e+37,37.3152,43,2,2659,24.1667,15.7647,0.853162,2e+08,13380,0.27,2
1231,24.1667,15.7644,3.51548,2.06651e+37,37.3152,43,2,2680,24.1667,15.7644,0.324944,1e+06,1289,0.17,3
1237,24.1694,15.7647,3.40107,7.1082e+36,36.8518,56.3881,1,2641,24.1696,15.765,1.12563,1e+06,1926,0.05,3
1243,24.2005,15.7655,5.12659,1.11404e+37,37.0469,46.947,3,3450,24.2005,15.7655,0.178903,6e+06,3470,0.59,4
1249,24.1804,15.7651,3.4836,1.26392e+38,38.1017,70,2,2627,24.1803,15.7651,0.403565,1e+06,2545,0.04,3
1250,24.1751,15.765,3.14956,3.32455e+37,37.5217,104,4,2606,24.1747,15.7654,1.79037,4e+07,5301,0.25,3
1250,24.1751,15.765,3.14956,3.32455e+37,37.5217,104,4,2623,24.1746,15.7651,1.81255,1e+07,2300,0.25,2
1251,24.1675,15.7648,3.43361,5.34112e+36,36.7276,94.3823,3,2640,24.1672,15.765,1.15758,1e+08,4875,0.12,2
1253,24.2104,15.7659,6.23965,1.81216e+38,38.2582,68,1,3436,24.2105,15.7659,0.35643,1e+06,10080,0.45,2
1253,24.2104,15.7659,6.23965,1.81216e+38,38.2582,68,1,3438,24.2104,15.7658,0.222448,2e+07,4026,0.16,4
1253,24.2104,15.7659,6.23965,1.81216e+38,38.2582,68,1,3439,24.2104,15.7658,0.353783,6e+06,1369,0.22,4
1253,24.2104,15.7659,6.23965,1.81216e+38,38.2582,68,1,3440,24.2105,15.7657,0.905065,1e+06,5011,0.23,3
1253,24.2104,15.7659,6.23965,1.81216e+38,38.2582,68,1,3456,24.2104,15.7657,0.838858,5e+06,11890,0.6,4
1254,24.1941,15.7655,4.32257,2.04598e+37,37.3109,167,3,3429,24.1942,15.7661,1.89731,1.3e+07,1622,0.27,3
1254,24.1941,15.7655,4.32257,2.04598e+37,37.3109,167,3,3443,24.1946,15.7657,1.68271,4e+07,5915,0.18,2
1254,24.1941,15.7655,4.32257,2.04598e+37,37.3109,167,3,3449,24.1943,15.7655,0.412365,3e+06,4329,0.74,2
1254,24.1941,15.7655,4.32257,2.04598e+37,37.3109,167,3,3458,24.1936,15.7652,2.17441,2e+06,3541,0.7,2
1257,24.1618,15.7649,3.7329,1.62131e+37,37.2099,84,2,2633,24.1617,15.765,0.613556,1.1e+07,6658,0.4,2
1258,24.161,15.7649,3.84543,3.68417e+36,36.5663,115,4,2604,24.161,15.7654,1.88265,4e+07,1773,0.02,4
1258,24.161,15.7649,3.84543,3.68417e+36,36.5663,115,4,2612,24.1611,15.7653,1.61025,3e+06,3863,0.12,1
1258,24.161,15.7649,3.84543,3.68417e+36,36.5663,115,4,2631,24.1608,15.7651,0.790198,1e+07,3269,0.35,3
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2592,24.1699,15.7655,1.5376,8e+07,4844,0,4
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2605,24.1699,15.7654,1.14466,8e+07,5104,0,4
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2614,24.1699,15.7653,0.815155,1.5e+07,5655,0.3,4
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2616,24.1694,15.7652,1.32959,8e+06,2200,0.44,4
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2622,24.1698,15.7651,0.188519,5e+07,4193,0,2
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2629,24.1695,15.7651,0.810774,1.5e+07,3537,0.38,4
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2630,24.1696,15.7651,0.716693,9e+06,773.2,0,2
1263,24.1698,15.7651,3.27548,6.81425e+36,36.8334,78,2,2641,24.1696,15.765,0.776176,1e+06,1926,0.05,3
1265,24.2129,15.7661,6.59055,2.91989e+38,38.4654,46.2776,2,3427,24.2132,15.7661,0.856665,3e+06,3241,0.47,3
1265,24.2129,15.7661,6.59055,2.91989e+38,38.4654,46.2776,2,3428,24.2129,15.7661,0.15417,2e+06,1110,0.13,2
1265,24.2129,15.7661,6.59055,2.91989e+38,38.4654,46.2776,2,3431,24.2129,15.766,0.407467,1e+06,5465,0.24,3
1265,24.2129,15.7661,6.59055,2.91989e+38,38.4654,46.2776,2,3432,24.213,15.766,0.733164,3e+06,1140,0.08,4
1267,24.1892,15.7656,3.80597,4.61786e+36,36.6644,52.6234,3,2603,24.1895,15.7654,0.951854,7e+06,1172,0.36,4
1267,24.1892,15.7656,3.80597,4.61786e+36,36.6644,52.6234,3,3453,24.1895,15.7654,0.97896,3e+07,2909,0.14,3
1276,24.1809,15.7656,3.35863,2.49755e+37,37.3975,56,4,2591,24.1809,15.7655,0.353903,9e+06,1108,0,3
1279,24.1995,15.7661,4.79788,1.962e+37,37.2927,57.1561,2,3425,24.1992,15.7663,1.11627,3e+07,9828,0.33,2
1289,24.1956,15.7662,4.40534,6.04213e+36,36.7812,108,2,3421,24.1956,15.7667,1.72801,2e+06,657.9,0.1,4
1289,24.1956,15.7662,4.40534,6.04213e+36,36.7812,108,2,3444,24.1956,15.7656,2.07018,2e+08,10510,0.08,2
1290,24.1711,15.7657,3.20459,3.42871e+37,37.5351,40.1151,2,2583,24.1712,15.7656,0.381248,1e+06,819,0.09,2
1301,24.1685,15.7659,3.16944,nan,nan,76,3,2545,24.1687,15.7662,1.38721,2e+08,11210,0.13,3
1303,24.1608,15.7657,3.73141,8.68077e+37,37.9386,53,2,2561,24.1607,15.766,0.940186,1e+08,11470,0.23,2
1303,24.1608,15.7657,3.73141,8.68077e+37,37.9386,53,2,2578,24.1611,15.7657,1.05029,1e+08,10610,0.08,2
1303,24.1608,15.7657,3.73141,8.68077e+37,37.9386,53,2,2586,24.1607,15.7655,0.774458,1e+06,3488,0.24,3
1308,24.1635,15.766,3.48779,2.98564e+38,38.475,34.3572,2,2559,24.1636,15.766,0.26329,9e+06,2222,0.29,4
1308,24.1635,15.766,3.48779,2.98564e+38,38.475,34.3572,2,2567,24.1635,15.7659,0.434703,1e+06,13290,0.2,2
1308,24.1635,15.766,3.48779,2.98564e+38,38.475,34.3572,2,2568,24.1635,15.7658,0.694072,1e+06,5379,0.19,3
1310,24.2126,15.7672,6.37205,9.7633e+37,37.9896,78,2,3412,24.2129,15.767,1.35733,1e+06,1207,0.05,3
1311,24.1956,15.7668,4.29742,1.63559e+37,37.2137,45.6116,3,3421,24.1956,15.7667,0.348293,2e+06,657.9,0.1,4
1312,24.1649,15.7662,3.37113,6.07194e+37,37.7833,85,2,2529,24.1648,15.7664,0.847151,1e+06,3318,0.32,4
1312,24.1649,15.7662,3.37113,6.07194e+37,37.7833,85,2,2530,24.1648,15.7664,0.728459,9e+06,1484,0.09,4
1312,24.1649,15.7662,3.37113,6.07194e+37,37.7833,85,2,2540,24.1651,15.7663,0.785299,9e+06,480.8,0.13,4
1312,24.1649,15.7662,3.37113,6.07194e+37,37.7833,85,2,2562,24.1646,15.766,1.49816,1.5e+07,7584,0.67,4
1313,24.1643,15.7662,3.37615,2.44722e+37,37.3887,64.2715,2,2562,24.1646,15.766,1.166,1.5e+07,7584,0.67,4
1314,24.1508,15.7659,4.78919,3.3263e+37,37.522,68.3288,2,2553,24.1508,15.7659,0.226821,1e+06,1521,0.18,4
1314,24.1508,15.7659,4.78919,3.3263e+37,37.522,68.3288,2,2554,24.1509,15.7659,0.465777,4e+06,1060,0.05,3
1314,24.1508,15.7659,4.78919,3.3263e+37,37.522,68.3288,2,2555,24.1508,15.766,0.17848,7e+06,7736,0.15,2
1314,24.1508,15.7659,4.78919,3.3263e+37,37.522,68.3288,2,2556,24.1509,15.766,0.473003,2e+06,1805,0.13,3
1317,24.1999,15.767,4.73608,2.36349e+37,37.3736,75,3,3416,24.2001,15.7669,0.78799,4e+06,469.1,0.07,4
1318,24.1604,15.7662,3.66137,2.42579e+37,37.3849,79.1228,3,2538,24.1601,15.7663,1.36803,9e+06,6925,0.49,4
1318,24.1604,15.7662,3.66137,2.42579e+37,37.3849,79.1228,3,2548,24.1604,15.7661,0.17395,5e+06,457.4,0.03,3
1318,24.1604,15.7662,3.66137,2.42579e+37,37.3849,79.1228,3,2561,24.1607,15.766,1.15465,1e+08,11470,0.23,2
1323,24.166,15.7664,3.19949,9.29218e+36,36.9681,82.4938,2,2512,24.1662,15.7668,1.32288,2e+08,37010,0.08,2
1326,24.2008,15.7672,4.98767,1.10134e+37,37.0419,46,3,3407,24.2007,15.7673,0.46598,1.5e+07,6576,0.42,4
1330,24.1717,15.7667,3.01407,5.84251e+37,37.7666,73,3,2515,24.1713,15.7667,1.25479,1e+06,1792,0.06,3
1330,24.1717,15.7667,3.01407,5.84251e+37,37.7666,73,3,2536,24.1715,15.7665,1.00876,2e+06,700.5,0,3
1333,24.1743,15.7668,2.92769,6.51809e+37,37.8141,34.7508,2,2518,24.1743,15.7667,0.364398,1e+06,2269,0.05,2
1336,24.1979,15.7674,4.55348,6.37102e+36,36.8042,103,4,3404,24.1978,15.7675,0.762763,2e+09,75880,0,1
1336,24.1979,15.7674,4.55348,6.37102e+36,36.8042,103,4,3405,24.1984,15.7675,1.65215,2e+08,8853,0.07,2
1349,24.1526,15.7666,4.36026,1.25958e+37,37.1002,102,3,2493,24.1527,15.7671,1.84787,2e+08,24980,0.17,2
